route_id,route_short_name,route_long_name,route_type
47100,47100,HYB-LPI,2
47101,47101,HYB-LPI,2
47102,47102,HYB-LPI,2
47103,47103,HYB-LPI,2
47104,47104,HYB-LPI,2
47105,47105,HYB-LPI,2
47106,47106,HYB-LPI,2
47107,47107,HYB-LPI,2
47108,47108,HYB-LPI,2
47109,47109,HYB-LPI,2
47110,47110,HYB-LPI,2
47111,47111,HYB-LPI,2
47112,47112,HYB-LPI,2
47113,47113,HYB-LPI,2
47114,47114,HYB-LPI,2
47115,47115,HYB-LPI,2
47116,47116,HYB-LPI,2
47117,47117,HYB-LPI,2
47118,47118,HYB-LPI,2
47119,47119,HYB-LPI,2
47120,47120,HYB-LPI,2
47121,47121,HYB-LPI,2
47122,47122,HYB-LPI,2
47123,47123,HYB-LPI,2
47124,47124,HYB-LPI,2
47125,47125,HYB-LPI,2
47126,47126,LPI-HYB,2
47127,47127,LPI-HYB,2
47128,47128,LPI-HYB,2
47129,47129,LPI-HYB,2
47130,47130,LPI-HYB,2
47131,47131,LPI-HYB,2
47132,47132,LPI-HYB,2
47133,47133,LPI-HYB,2
47134,47134,LPI-HYB,2
47135,47135,LPI-HYB,2
47136,47136,LPI-HYB,2
47137,47137,LPI-HYB,2
47138,47138,LPI-HYB,2
47139,47139,LPI-HYB,2
47140,47140,LPI-HYB,2
47141,47141,LPI-HYB,2
47142,47142,LPI-HYB,2
47143,47143,LPI-HYB,2
47144,47144,LPI-HYB,2
47145,47145,LPI-HYB,2
47146,47146,LPI-HYB,2
47147,47147,LPI-HYB,2
47148,47148,LPI-HYB,2
47149,47149,FM-LPI,2
47150,47150,FM-LPI,2
47151,47151,FM-LPI,2
47152,47152,FM-LPI,2
47153,47153,FM-LPI,2
47154,47154,FM-LPI,2
47155,47155,FM-LPI,2
47156,47156,FM-LPI,2
47157,47157,FM-LPI,2
47158,47158,FM-LPI,2
47159,47159,LPI-FM,2
47160,47160,FM-LPI,2
47161,47161,FM-LPI,2
47162,47162,FM-LPI,2
47163,47163,FM-LPI,2
47164,47164,FM-LPI,2
47165,47165,FM-LPI,2
47166,47166,FM-LPI,2
47167,47167,FM-LPI,2
47168,47168,FM-SC,2
47169,47169,FM-LPI,2
47170,47170,FM-LPI,2
47171,47171,LPI-FM,2
47172,47172,SC-FM,2
47173,47173,LPI-FM,2
47174,47174,LPI-FM,2
47175,47175,LPI-FM,2
47176,47176,LPI-FM,2
47177,47177,LPI-FM,2
47178,47178,LPI-FM,2
47179,47179,LPI-FM,2
47180,47180,LPI-FM,2
47181,47181,LPI-FM,2
47182,47182,LPI-FM,2
47183,47183,LPI-FM,2
47184,47184,LPI-FM,2
47185,47185,LPI-FM,2
47186,47186,LPI-FM,2
47187,47187,LPI-FM,2
47188,47188,LPI-FM,2
47189,47189,LPI-FM,2
47190,47190,LPI-FM,2
47191,47191,LPI-FM,2
47192,47192,LPI-FM,2
47193,47193,LPI-SC,2
47194,47194,LPI-FM,2
47195,47195,LPI-SC,2
47196,47196,SC-HYB,2
47197,47197,FM-HYB,2
47198,47198,FM-LPI,2
47199,47199,FM-HYB,2
47200,47200,FM-HYB,2
47201,47201,FM-HYB,2
47202,47202,FM-HYB,2
47203,47203,FM-LPI,2
47204,47204,FM-SC,2
47205,47205,SC-FM,2
47206,47206,HYB-FM,2
47207,47207,FM-LPI,2
47208,47208,HYB-FM,2
47209,47209,HYB-FM,2
47210,47210,LPI-FM,2
47211,47211,FM-LPI,2
47212,47212,LPI-FM,2
47213,47213,LPI-FM,2
47214,47214,FM-LPI,2
47215,47215,LPI-FM,2
47216,47216,FM-LPI,2
47217,47217,LPI-FM,2
47218,47218,FM-LPI,2
47219,47219,LPI-FM,2
47220,47220,FM-LPI,2
67276,67276,BHONGIR-FM MEMU,2
67277,67277,FM-JANGAON  MEMU TRAIN,2
67278,67278,JANGOAN-FM MEMU TRAIN,2
77604,77604,BMO-FM DEMU,2
77630,77630,SC-UR DEMU,2
77631,77631,FM-UR DEMU,2
77632,77632,FM-UR DEMU,2
77633,77633,FM-UR DEMU,2
77634,77634,FM-UR DEMU,2
77635,77635,FM-UR DEMU,2
77638,77638,FM-UR DEMU,2
77640,77640,UR-FM DEMU,2
77641,77641,UR-FM DEMU,2
77642,77642,UR-FM DEMU,2
77643,77643,UR-FM DEMU,2
77645,77645,UR-SC DEMU,2
77647,77647,UR-FM DEMU,2
77649,77649,UR-SC DEMU,2
77680,77680,MED-FM DEMU,2
77681,77681,FM-MED DEMU,2
77682,77682,MED-FM DEMU,2
