trip_id,stop_id,stop_sequence,shape_dist_traveled,arrival_time,departure_time
TR_47100,HYB,1,1,04:35:00,04:35:00
TR_47100,LKPL,2,2,04:37:00,04:38:00
TR_47100,KQD,3,3,04:39:00,04:40:00
TR_47100,NLRD,4,4,04:41:00,04:42:00
TR_47100,BMT,5,7,04:45:00,04:46:00
TR_47100,NCHS,6,8,04:47:00,04:48:00
TR_47100,FNB,7,9,04:49:00,04:50:00
TR_47100,BTNR,8,12,04:51:00,04:52:00
TR_47100,BRBD,9,14,04:53:00,04:54:00
TR_47100,HTCY,10,17,04:57:00,04:58:00
TR_47100,HFZ,11,20,05:01:00,05:02:00
TR_47100,CDNR,12,24,05:05:00,05:06:00
TR_47100,LPI,13,25,05:20:00,05:20:00
TR_47101,HYB,1,1,05:40:00,05:40:00
TR_47101,LKPL,2,2,05:42:00,05:43:00
TR_47101,KQD,3,3,05:44:00,05:45:00
TR_47101,NLRD,4,4,05:46:00,05:47:00
TR_47101,BMT,5,6,05:50:00,05:51:00
TR_47101,NCHS,6,7,05:52:00,05:53:00
TR_47101,FNB,7,8,05:54:00,05:55:00
TR_47101,BTNR,8,11,05:57:00,05:58:00
TR_47101,BRBD,9,13,05:59:00,06:00:00
TR_47101,HTCY,10,16,06:02:00,06:03:00
TR_47101,HFZ,11,19,06:06:00,06:07:00
TR_47101,CDNR,12,22,06:10:00,06:11:00
TR_47101,LPI,13,24,06:25:00,06:25:00
TR_47102,HYB,1,1,06:20:00,06:20:00
TR_47102,LKPL,2,2,06:21:00,06:22:00
TR_47102,KQD,3,3,06:24:00,06:25:00
TR_47102,NLRD,4,4,06:26:00,06:27:00
TR_47102,BMT,5,7,06:30:00,06:31:00
TR_47102,NCHS,6,8,06:32:00,06:33:00
TR_47102,FNB,7,9,06:34:00,06:35:00
TR_47102,BTNR,8,12,06:36:00,06:37:00
TR_47102,BRBD,9,14,06:39:00,06:40:00
TR_47102,HTCY,10,17,06:43:00,06:44:00
TR_47102,HFZ,11,20,06:47:00,06:48:00
TR_47102,CDNR,12,24,06:51:00,06:52:00
TR_47102,LPI,13,25,07:05:00,07:05:00
TR_47103,HYB,1,1,07:00:00,07:00:00
TR_47103,LKPL,2,2,07:02:00,07:03:00
TR_47103,KQD,3,3,07:04:00,07:05:00
TR_47103,NLRD,4,4,07:06:00,07:07:00
TR_47103,BMT,5,6,07:10:00,07:11:00
TR_47103,NCHS,6,7,07:12:00,07:13:00
TR_47103,FNB,7,8,07:14:00,07:15:00
TR_47103,BTNR,8,11,07:17:00,07:18:00
TR_47103,BRBD,9,13,07:19:00,07:20:00
TR_47103,HTCY,10,16,07:23:00,07:24:00
TR_47103,HFZ,11,19,07:27:00,07:28:00
TR_47103,CDNR,12,22,07:31:00,07:32:00
TR_47103,LPI,13,24,07:50:00,07:50:00
TR_47104,HYB,1,1,07:46:00,07:46:00
TR_47104,LKPL,2,2,07:48:00,07:49:00
TR_47104,KQD,3,3,07:50:00,07:51:00
TR_47104,NLRD,4,4,07:52:00,07:53:00
TR_47104,BMT,5,6,07:56:00,07:57:00
TR_47104,NCHS,6,7,07:58:00,07:59:00
TR_47104,FNB,7,8,08:00:00,08:01:00
TR_47104,BTNR,8,11,08:03:00,08:04:00
TR_47104,BRBD,9,13,08:05:00,08:06:00
TR_47104,HTCY,10,16,08:09:00,08:10:00
TR_47104,HFZ,11,19,08:13:00,08:14:00
TR_47104,CDNR,12,22,08:17:00,08:18:00
TR_47104,LPI,13,24,08:31:00,08:31:00
TR_47105,HYB,1,1,08:25:00,08:25:00
TR_47105,LKPL,2,2,08:29:00,08:30:00
TR_47105,KQD,3,3,08:31:00,08:32:00
TR_47105,NLRD,4,4,08:33:00,08:34:00
TR_47105,BMT,5,7,08:38:00,08:39:00
TR_47105,NCHS,6,8,08:40:00,08:41:00
TR_47105,FNB,7,9,08:42:00,08:43:00
TR_47105,BTNR,8,12,08:45:00,08:46:00
TR_47105,BRBD,9,14,08:48:00,08:49:00
TR_47105,HTCY,10,17,08:52:00,08:53:00
TR_47105,HFZ,11,20,08:57:00,08:58:00
TR_47105,CDNR,12,24,09:02:00,09:03:00
