route_id,service_id,trip_id,trip_headsign,trip_short_name,IN_numstops,IN_duration,IN_distance,IN_speed,IN_LL_dist,IN_LL_speed
47100,cal_MoTuWeThFrSaSu,TR_47100,LINGAMPALLI,47100,13,0.8,25.0,31.2,22.5,28.1
47101,cal_MoTuWeThFrSaSu,TR_47101,LINGAMPALLI,47101,13,0.8,24.0,30.0,22.5,28.1
47102,cal_MoTuWeThFrSaSu,TR_47102,LINGAMPALLI,47102,13,0.8,25.0,31.2,22.5,28.1
47103,cal_MoTuWeThFrSaSu,TR_47103,LINGAMPALLI,47103,13,0.8,24.0,30.0,22.5,28.1
47104,cal_MoTuWeThFrSaSu,TR_47104,LINGAMPALLI,47104,13,0.8,24.0,30.0,22.5,28.1
47105,cal_MoTuWeThFrSaSu,TR_47105,LINGAMPALLI,47105,13,0.8,25.0,31.2,22.5,28.1
47106,cal_MoTuWeThFrSaSu,TR_47106,LINGAMPALLI,47106,13,0.8,24.0,30.0,22.5,28.1
47107,cal_MoTuWeThFrSaSu,TR_47107,LINGAMPALLI,47107,13,0.8,25.0,31.2,22.5,28.1
47108,cal_MoTuWeThFrSaSu,TR_47108,LINGAMPALLI,47108,13,0.8,25.0,31.2,22.5,28.1
47109,cal_MoTuWeThFrSa,TR_47109,LINGAMPALLI,47109,13,0.8,24.0,30.0,22.5,28.1
47110,cal_MoTuWeThFrSa,TR_47110,LINGAMPALLI,47110,13,0.8,24.0,30.0,22.5,28.1
47111,cal_MoTuWeThFrSa,TR_47111,LINGAMPALLI,47111,13,0.9,25.0,27.8,22.5,25.0
47112,cal_MoTuWeThFrSaSu,TR_47112,LINGAMPALLI,47112,13,0.8,24.0,30.0,22.5,28.1
47113,cal_MoTuWeThFrSa,TR_47113,LINGAMPALLI,47113,13,0.8,24.0,30.0,22.5,28.1
47114,cal_MoTuWeThFrSaSu,TR_47114,LINGAMPALLI,47114,13,0.8,24.0,30.0,22.5,28.1
47115,cal_MoTuWeThFrSaSu,TR_47115,LINGAMPALLI,47115,13,0.8,24.0,30.0,22.5,28.1
47116,cal_MoTuWeThFrSaSu,TR_47116,LINGAMPALLI,47116,13,0.9,25.0,27.8,22.5,25.0
47117,cal_MoTuWeThFrSaSu,TR_47117,LINGAMPALLI,47117,13,0.8,25.0,31.2,22.5,28.1
47118,cal_MoTuWeThFrSaSu,TR_47118,LINGAMPALLI,47118,13,0.8,25.0,31.2,22.5,28.1
